benchmarkId,board,createdAt,sha256,md5,state,cycles,duration_ms,device,frequency_MHz,model_name,model_size,rom_n_macc,val_error,allocate-inputs,allocate-outputs,compression,optimization,layersInExternalFlash,layersInInternalFlash,useExternalFlash,useExternalRam,total_flash_bytes,total_ram_bytes,internal_flash,external_flash,internal_ram,external_ram,activations_bytes,weights_bytes,extra_flash_bytes,kernel_flash_bytes,extra_ram_bytes,kernel_ram_bytes,io_bytes
57dcf20b-adee-46e0-83d2-58842fa56d0a,STM32H7S78-DK,Sat Apr 20 2024 18:16:09 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"7753909","12.92318176291883","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,balanced,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_29_weights,conv2d_29_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias","",true,false,188077,72044,56681,131396,72044,0,57504,131396,,56681,,14540,0/0
7af24690-7cb1-41d6-9a1c-dbbc648d9c76,NUCLEO-H743ZI2,Sat Apr 20 2024 18:16:13 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"7160980","14.918708511104342","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,balanced,"","",false,false,188041,72044,188041,0,72044,0,57504,131396,,56645,,14540,0/0
89c54dde-c852-4eb8-a37f-3783a0f33b9a,STM32L4R9I-DISCO,Sat Apr 20 2024 18:16:23 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"12044553","100.37127500213683","stm32 family - 0x470 - STM32L4R/S @120/120MHz::fpu,art_lat=5,art_icache,art_dcache",120,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,balanced,"","",false,false,188771,66948,188771,0,66948,0,52408,131396,,57375,,14540,0/0
edb054f6-871f-4170-afea-43752a4fc4aa,NUCLEO-F401RE,Sat Apr 20 2024 18:16:25 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"11395213","135.65729917166755","stm32 family - 0x433 - STM32F401xD/E @84/84MHz::fpu,art_lat=2,art_prefetch,art_icache,art_dcache",84,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,balanced,"","",false,false,188771,66948,188771,0,66948,0,52408,131396,,57375,,14540,0/0
dae2a0c2-8b18-489d-948c-1ac1ef7dd301,STM32H7S78-DK,Sat Apr 20 2024 18:17:56 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"8949673","14.916121909627691","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,ram,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_29_weights,conv2d_29_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias","",true,false,184471,62580,53075,131396,62580,0,50328,131396,,53075,,12252,0/0
6d6c897b-898e-4c80-89ad-1fceb6c71cf5,STM32L4R9I-DISCO,Sat Apr 20 2024 18:18:02 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"14739324","122.82770110527053","stm32 family - 0x470 - STM32L4R/S @120/120MHz::fpu,art_lat=5,art_icache,art_dcache",120,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,ram,"","",false,false,185037,62580,185037,0,62580,0,50328,131396,,53641,,12252,0/0
bde954bf-12b5-49bd-8c31-6acfaf3fbf1f,NUCLEO-F401RE,Sat Apr 20 2024 18:18:03 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"13347375","158.89733054023236","stm32 family - 0x433 - STM32F401xD/E @84/84MHz::fpu,art_lat=2,art_prefetch,art_icache,art_dcache",84,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,ram,"","",false,false,185037,62580,185037,0,62580,0,50328,131396,,53641,,12252,0/0
cbf42960-1aab-4849-9ce5-d37a0595eba1,NUCLEO-H743ZI2,Sat Apr 20 2024 18:19:13 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"8221619","17.12837329582544","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,ram,"","",false,false,184471,62580,184471,0,62580,0,50328,131396,,53075,,12252,0/0
b672419e-2fdb-410a-b576-cc0d71d5e761,STM32H7S78-DK,Sat Apr 20 2024 18:19:53 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"7355590","12.259316710289568","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,time,"conv2d_9_weights,conv2d_9_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_4_weights,conv2d_4_bias,conv2d_3_weights,conv2d_3_bias,conv2d_2_weights,conv2d_2_bias,conv2d_29_weights,conv2d_29_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_14_weights,conv2d_14_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias","",true,false,190373,101964,58977,131396,101964,0,87376,131396,,58977,,14588,0/0
1c6a0920-a4f4-4129-9583-ddbb8339c64d,NUCLEO-H743ZI2,Sat Apr 20 2024 18:19:54 GMT+0200 (Ora legale dell’Europa centrale),20e7d641e48dddd5120e8207f2c1fc033db9a7f2318499d0581730266c55d314,f4741de01f51946cfa6943b1d3e47f86,done,"6738871","14.039316566661","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,fdmobilenet_0_25_128_tfs_int8_image_classification_flowers,131396,3952906,0,true,true,,time,"","",false,false,190397,101916,190397,0,101916,0,87376,131396,,59001,,14540,0/0
