benchmarkId,board,createdAt,sha256,md5,state,cycles,duration_ms,device,frequency_MHz,model_name,model_size,rom_n_macc,val_error,allocate-inputs,allocate-outputs,compression,optimization,layersInExternalFlash,layersInInternalFlash,useExternalFlash,useExternalRam,total_flash_bytes,total_ram_bytes,internal_flash,external_flash,internal_ram,external_ram,activations_bytes,weights_bytes,extra_flash_bytes,kernel_flash_bytes,extra_ram_bytes,kernel_ram_bytes,io_bytes
342d8ad5-32b1-41e2-a6ac-3acd04aaa308,STM32H7S78-DK,Mon May 27 2024 12:07:20 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"64341435","107.2357265544124","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,balanced,"gemm_33_weights,gemm_33_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_3_weights,conv2d_3_bias,conv2d_31_weights,conv2d_31_bias,conv2d_30_weights,conv2d_30_bias,conv2d_2_weights,conv2d_2_bias,conv2d_29_weights,conv2d_29_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias","",true,false,286081,296276,66237,219844,296276,0,279508,219844,,66237,,16768,0/0
21a04d8b-c3c1-426d-a67f-7bd4fcc90dcb,NUCLEO-H743ZI2,Sat Jun 01 2024 11:12:36 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"65783328","137.04860173520865","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,balanced,"","",false,false,286081,296276,286081,0,296276,0,279508,219844,,66237,,16768,0/0
a58cad55-d067-4336-8a08-492f52d1d1e2,STM32H7B3I-DK,Sat Jun 01 2024 11:12:44 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"65079947","232.4283827941399","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,balanced,"","",false,false,286101,323888,286101,0,323888,0,307120,219844,,66257,,16768,0/0
a74451c9-2522-4119-bb7f-4c95c23ca034,STM32F469I-DISCO,Sat Jun 01 2024 11:13:29 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"127283656","707.1314226535615","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,balanced,"","",false,false,288643,311088,288643,0,311088,0,294320,219844,,68799,,16768,0/0
8b8155c0-abe1-4b8a-a290-9673e6e5b09b,STM32H7S78-DK,Sat Jun 01 2024 11:16:16 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"76020193","126.7003219765611","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,ram,"gemm_33_weights,gemm_33_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_3_weights,conv2d_3_bias,conv2d_31_weights,conv2d_31_bias,conv2d_30_weights,conv2d_30_bias,conv2d_2_weights,conv2d_2_bias,conv2d_29_weights,conv2d_29_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias","",true,false,281991,270120,62147,219844,270120,0,256040,219844,,62147,,14080,0/0
666692db-7393-404a-9f1b-94b95a1f354d,NUCLEO-H743ZI2,Sat Jun 01 2024 11:16:17 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"76509260","159.39429234329145","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,ram,"","",false,false,281991,270120,281991,0,270120,0,256040,219844,,62147,,14080,0/0
2015ddc9-a277-45da-bbfc-2975811fd9d2,STM32H7B3I-DK,Sat Jun 01 2024 11:16:19 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"76465758","273.0919940077001","stm32 family - 0x0 - UNKNOW @280/140MHz::fpu,art_lat=3,core_icache,core_dcache",280,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,ram,"","",false,false,281999,270120,281999,0,270120,0,256040,219844,,62155,,14080,0/0
4d83c1f5-90ae-471d-81bb-82903105941a,STM32F469I-DISCO,Sat Jun 01 2024 11:16:27 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"133151891","739.7327321113553","stm32 family - 0x434 - STM32F469 @180/180MHz::fpu,art_lat=5,art_prefetch,art_icache,art_dcache",180,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,ram,"","",false,false,284053,270072,284053,0,270072,0,256040,219844,,64209,,14032,0/0
06ab7843-159e-438c-88fe-9a6b324e2ce9,STM32H7S78-DK,Sat Jun 01 2024 11:18:48 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"56189556","93.6492604939267","stm32 family - 0x485 - STM32H7[R,]Sxx @600/300MHz::fpu,art_lat=6,core_icache,core_dcache",600,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,time,"gemm_33_weights,gemm_33_bias,conv2d_8_weights,conv2d_8_bias,conv2d_7_weights,conv2d_7_bias,conv2d_6_weights,conv2d_6_bias,conv2d_5_weights,conv2d_5_bias,conv2d_3_weights,conv2d_3_bias,conv2d_31_weights,conv2d_31_bias,conv2d_30_weights,conv2d_30_bias,conv2d_2_weights,conv2d_2_bias,conv2d_29_weights,conv2d_29_bias,conv2d_28_weights,conv2d_28_bias,conv2d_26_weights,conv2d_26_bias,conv2d_25_weights,conv2d_25_bias,conv2d_24_weights,conv2d_24_bias,conv2d_23_weights,conv2d_23_bias,conv2d_22_weights,conv2d_22_bias,conv2d_21_weights,conv2d_21_bias,conv2d_20_weights,conv2d_20_bias,conv2d_1_weights,conv2d_1_bias,conv2d_19_weights,conv2d_19_bias,conv2d_18_weights,conv2d_18_bias,conv2d_17_weights,conv2d_17_bias,conv2d_16_weights,conv2d_16_bias,conv2d_15_weights,conv2d_15_bias,conv2d_13_weights,conv2d_13_bias,conv2d_12_weights,conv2d_12_bias,conv2d_11_weights,conv2d_11_bias,conv2d_10_weights,conv2d_10_bias","",true,false,288349,325580,68505,219844,325580,0,308812,219844,,68505,,16768,0/0
c972a8d7-c024-4c21-943b-e82223615df5,NUCLEO-H743ZI2,Sat Jun 01 2024 11:18:49 GMT+0200 (Ora legale dell’Europa centrale),68b809d1dd8c0e5dc536692e24a3657fa79aad708cebb7ed69b8b7e52426ee71,357e1004ee30378b97e78d0910a75797,done,"57421295","119.62769930204377","stm32 family - 0x450 - STM32H743/53/50xx and STM32H745/55/47/57xx @480/240MHz::fpu,art_lat=4,core_icache,core_dcache",480,mobilenet_v1_0_25_224_tfs_int8,219844,41091978,0,true,true,,time,"","",false,false,288365,329420,288365,0,325580,0,312652,219844,,68521,,16768,0/0
